,UNO,KA,VECT,CELT1,GOL,GOLF,CORSS,GOL1,ECO,BLA2,PALIN,SAVEI,HONDA,FOX,AUDI,PALIF,PARATI,CORDL,SIENAF,ASTRAS,PALIO,DUBLO,PEUGEO,FIESTA,ASTRAH,CORSE,PALIOW,STILO,CELTA,CORHA
UNO,0,0.388098318,0.875486381,0.462745098,0.530718954,0.737597911,0.752617801,0.43774574,0.881889764,0.908015769,0.505928854,0.841688654,0.916886544,0.629973475,0.880478088,0.481432361,0.838196286,0.910904255,0.742021277,0.898666667,0.836218375,0.866131191,0.700934579,0.773584906,0.819163293,0.801619433,0.814016173,0.824797844,0.51014885,0.581867388
KA,0.388098318,0,0.902216428,0.38239159,0.526938239,0.729658793,0.744736842,0.440052701,0.919525066,0.93659181,0.490740741,0.851851852,0.912466844,0.626666667,0.873164219,0.454061252,0.83643617,0.929049531,0.754010695,0.918230563,0.854278075,0.916666667,0.672922252,0.764864865,0.822733424,0.800542741,0.844594595,0.786197564,0.449728261,0.563093623
VECT,0.875486381,0.902216428,0,0.865789474,0.828947368,0.749343832,0.563324538,0.857519789,0.899470899,0.854881266,0.832446809,0.863031915,0.442231076,0.838451268,0.601604278,0.852941176,0.813829787,0.465863454,0.554216867,0.429144385,0.862115127,0.88844086,0.77852349,0.568335589,0.636856369,0.548913043,0.827679783,0.648173207,0.847619048,0.826975477
CELT1,0.462745098,0.38239159,0.865789474,0,0.436842105,0.656992084,0.714285714,0.348745046,0.895225464,0.925827815,0.421122995,0.873501997,0.888739946,0.572763685,0.845222073,0.40080429,0.832887701,0.900403769,0.71409396,0.881401617,0.834677419,0.90188172,0.627027027,0.737127371,0.748641304,0.779291553,0.82946794,0.741847826,0.219945355,0.460490463
GOL,0.530718954,0.526938239,0.828947368,0.436842105,0,0.565389696,0.72655218,0.278145695,0.907284768,0.914893617,0.457219251,0.851802403,0.851006711,0.580774366,0.794354839,0.441176471,0.789261745,0.866756393,0.719086022,0.847503374,0.800269906,0.897849462,0.619756428,0.75951087,0.719131615,0.734056988,0.777929155,0.71292517,0.419618529,0.529331514
GOLF,0.737597911,0.729658793,0.749343832,0.656992084,0.565389696,0,0.712962963,0.560264901,0.891102258,0.87250996,0.663115846,0.885486019,0.731283422,0.638184246,0.658602151,0.68315508,0.761394102,0.758064516,0.738605898,0.752355316,0.763052209,0.882749326,0.654520918,0.768606225,0.644113667,0.717006803,0.744217687,0.579945799,0.64673913,0.664850136
CORSS,0.752617801,0.744736842,0.563324538,0.714285714,0.72655218,0.712962963,0,0.694555113,0.933598938,0.908122503,0.713903743,0.877005348,0.623655914,0.744310576,0.715633423,0.727882038,0.835341365,0.611036339,0.455033557,0.454912517,0.826379542,0.876177658,0.753036437,0.300813008,0.635869565,0.252717391,0.807065217,0.734056988,0.714480874,0.652232747
GOL1,0.43774574,0.440052701,0.857519789,0.348745046,0.278145695,0.560264901,0.694555113,0,0.913217623,0.910666667,0.382352941,0.863818425,0.861930295,0.547651007,0.823450135,0.378196501,0.809395973,0.882432432,0.709677419,0.859649123,0.82972973,0.90188172,0.623815968,0.730978261,0.755102041,0.76462585,0.810884354,0.752043597,0.386394558,0.488372093
ECO,0.881889764,0.919525066,0.899470899,0.895225464,0.907284768,0.891102258,0.933598938,0.913217623,0,0.34,0.926075269,0.783602151,0.877852349,0.857718121,0.859838275,0.920592194,0.748987854,0.878378378,0.920162382,0.909336942,0.731707317,0.32972973,0.894021739,0.931693989,0.897260274,0.934246575,0.765753425,0.865122616,0.9,0.900136799
BLA2,0.908015769,0.93659181,0.854881266,0.925827815,0.914893617,0.87250996,0.908122503,0.910666667,0.34,0,0.927419355,0.798927614,0.849865952,0.867924528,0.820754717,0.898785425,0.746971736,0.85309973,0.91902834,0.865047233,0.750677507,0.368918919,0.877717391,0.920765027,0.869863014,0.901504788,0.762688615,0.860655738,0.917920657,0.916323731
PALIN,0.505928854,0.490740741,0.832446809,0.421122995,0.457219251,0.663115846,0.713903743,0.382352941,0.926075269,0.927419355,0,0.855227882,0.862533693,0.566621803,0.816216216,0.265771812,0.762483131,0.873469388,0.65948856,0.860244233,0.735492578,0.904761905,0.579375848,0.734610123,0.748626374,0.762362637,0.702592087,0.700960219,0.45392022,0.502068966
SAVEI,0.841688654,0.851851852,0.863031915,0.873501997,0.851802403,0.885486019,0.877005348,0.863818425,0.783602151,0.798927614,0.855227882,0,0.904312668,0.851351351,0.913396482,0.847708895,0.812668464,0.895522388,0.854251012,0.894021739,0.817320704,0.755074425,0.886024423,0.885558583,0.923392613,0.894664843,0.819047619,0.853825137,0.868131868,0.87654321
HONDA,0.916886544,0.912466844,0.442231076,0.888739946,0.851006711,0.731283422,0.623655914,0.861930295,0.877852349,0.849865952,0.862533693,0.904312668,0,0.843962008,0.478319783,0.876693767,0.859078591,0.301351351,0.636239782,0.474761255,0.89009498,0.893442623,0.765347885,0.620357634,0.64786795,0.610497238,0.87654321,0.716826265,0.890733057,0.851034483
