CaseID,Cruisedbefore,Howmany,Intend,Abiltravel,Abilspend,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_7,Motivation_8,TopDestination,TopCruiseline,TopLength,Demos1,Demos2,Demos3
1,1,3,1,1,2,0,0,1,0,0,0,0,0,3,2,4,1,2,2
3,1,3,2,1,2,1,0,0,1,1,0,1,0,4,3,4,5,2,5
5,1,5,1,2,2,0,1,0,0,1,1,1,0,2,3,5,1,2,6
6,2,0,1,2,2,0,1,0,0,0,1,1,1,2,6,1,1,4,4
7,1,2,2,1,2,1,0,1,0,1,1,0,0,2,6,1,5,2,5
9,1,1,1,2,2,1,0,1,0,0,1,0,1,6,2,5,1,2,5
10,2,0,2,2,2,1,0,0,1,0,1,1,0,6,2,1,1,2,5
12,1,1,2,2,2,1,0,0,1,0,1,0,1,6,2,5,3,2,3
14,1,3,1,1,1,1,0,1,1,0,0,1,0,6,5,4,1,2,5
16,1,2,2,2,2,0,1,1,0,1,0,1,0,2,3,1,3,2,2
17,1,4,1,1,1,1,0,0,1,0,1,0,0,3,1,1,2,2,6
19,1,1,2,2,2,1,0,0,1,0,0,0,0,6,2,4,3,1,3
21,1,4,1,1,1,1,1,0,0,0,1,0,1,6,6,2,1,2,7
22,1,1,1,2,2,1,1,1,0,0,0,1,0,3,6,1,1,2,6
23,2,0,2,1,2,1,1,0,0,0,1,1,0,4,1,2,1,2,5
24,2,0,2,2,2,1,0,1,0,0,1,0,1,2,3,1,1,2,3
25,1,3,2,1,1,1,0,0,1,0,1,1,0,5,1,5,5,2,3
26,2,0,2,2,3,1,0,0,1,1,0,0,1,1,6,2,5,2,4
28,1,4,1,1,1,1,0,0,1,1,0,0,1,4,3,5,1,1,4
29,1,3,1,1,1,1,0,0,1,0,1,1,0,6,1,5,5,2,4
31,1,5,1,1,1,1,0,0,1,1,1,0,0,6,3,5,5,2,5
32,1,5,1,2,2,1,1,1,0,0,0,1,0,2,6,1,5,1,5
33,1,2,2,2,2,1,0,1,0,0,1,1,0,3,6,1,1,2,4
34,1,2,1,1,1,0,1,1,1,0,1,0,0,5,1,1,1,2,4
35,1,5,1,1,2,1,0,0,1,1,0,1,0,6,4,4,5,5,4
36,1,1,2,3,2,0,1,1,0,0,1,1,0,3,6,4,1,2,6
37,1,3,1,2,2,1,1,0,0,1,1,0,0,6,3,5,1,2,5
39,2,0,1,1,1,1,0,1,0,0,1,0,1,4,3,5,1,5,6
