CaseID,Task,Concept,Dest,Cline,Days,State,Amenit,Price,Response
1,1,1,ECab,Holland,8D,Oview,Few,$125,0
1,1,2,WCab,Norge,7D,Insid,Few,$100,1
1,1,3,Alask,Princ,9D,Oview,More,$200,0
1,1,4,Mex,Royal,11D,Balcon,More,$150,0
1,2,1,Medit,Carni,9D,Insid,Few,$100,1
1,2,2,WCab,Disney,8D,Balcon,More,$125,0
1,2,3,Medit,Norge,7D,Oview,More,$175,0
1,2,4,Norway,Disney,10D,Balcon,Few,$200,0
1,3,1,ECab,Princ,11D,Balcon,Few,$175,1
1,3,2,WCab,Holland,9D,Oview,More,$150,0
1,3,3,Norway,Carni,8D,Insid,More,$125,0
1,3,4,Mex,Royal,10D,Oview,Few,$200,0
1,4,1,Alask,Norge,10D,Balcon,Few,$150,1
1,4,2,Norway,Princ,11D,Oview,Few,$175,0
1,4,3,Alask,Royal,7D,Insid,More,$200,0
1,4,4,ECab,Norge,11D,Insid,More,$100,0
1,5,1,Mex,Holland,9D,Insid,Few,$150,0
1,5,2,Medit,Royal,9D,Balcon,More,$100,0
1,5,3,ECab,Disney,10D,Balcon,More,$125,1
1,5,4,Mex,Carni,8D,Insid,Few,$175,0
1,6,1,Medit,Holland,8D,Insid,Few,$200,0
1,6,2,ECab,Carni,7D,Oview,More,$150,0
1,6,3,Alask,Royal,11D,Oview,More,$125,0
1,6,4,WCab,Princ,10D,Balcon,Few,$100,1
1,7,1,Norway,Holland,7D,Balcon,More,$100,1
1,7,2,Norway,Carni,10D,Insid,More,$175,0
1,7,3,Medit,Disney,7D,Oview,Few,$175,0
1,7,4,Alask,Norge,8D,Balcon,Few,$125,0
1,8,1,Norway,Princ,11D,Insid,Few,$125,0
1,8,2,Mex,Royal,7D,Balcon,More,$200,1
1,8,3,WCab,Disney,9D,Oview,More,$150,0
1,8,4,Medit,Holland,11D,Oview,Few,$200,0
1,9,1,WCab,Princ,9D,Insid,Few,$150,0
1,9,2,ECab,Norge,10D,Insid,More,$200,0
1,9,3,Alask,Carni,9D,Balcon,More,$175,1
1,9,4,Mex,Disney,8D,Insid,Few,$100,0
1,10,1,ECab,Norge,10D,Oview,More,$200,0
1,10,2,WCab,Holland,11D,Insid,More,$100,0
1,10,3,ECab,Princ,9D,Balcon,Few,$125,1
1,10,4,Medit,Disney,7D,Balcon,Few,$150,0
1,11,1,WCab,Royal,8D,Oview,Few,$175,0
1,11,2,Mex,Carni,11D,Balcon,Few,$200,1
1,11,3,Alask,Princ,7D,Oview,More,$175,0
1,11,4,Medit,Norge,11D,Insid,More,$125,0
1,12,1,Mex,Holland,9D,Balcon,More,$125,1
1,12,2,Norway,Disney,10D,Insid,Few,$150,0
1,12,3,Alask,Norge,7D,Insid,Few,$200,0
1,12,4,Norway,Princ,8D,Oview,More,$100,0
1,13,1,ECab,Carni,8D,Oview,Few,$150,0
1,13,2,WCab,Norge,10D,Balcon,More,$100,1
1,13,3,Alask,Holland,10D,Oview,Few,$125,0
1,13,4,Mex,Royal,9D,Insid,More,$175,0
1,14,1,Norway,Disney,7D,Oview,More,$175,0
1,14,2,Medit,Disney,8D,Balcon,More,$200,1
1,14,3,Norway,Princ,8D,Insid,Few,$150,0
1,14,4,ECab,Royal,9D,Balcon,Few,$100,0
1,15,1,Medit,Royal,7D,Oview,More,$125,0
1,15,2,Mex,Norge,11D,Balcon,Few,$150,1
